,date,message,replies,media_available,reactions_total
47,2025-12-01 17:40:30+00:00,"пытаются с многократно завышенной ценой. Больше как второстепенная площадка. Если что-то продастся, ну и ладно.",,False,0
48,2025-12-01 17:39:23+00:00,"попробуй поставить палец вниз последней новости яндекса в этом чате, и ты все увидишь",,False,0
49,2025-12-01 17:38:26+00:00,А тут ещё кто то торгует? 🙈,1.0,False,0
50,2025-12-01 17:37:33+00:00,у них да,,False,0
51,2025-12-01 17:37:08+00:00,продажи раз в 20 упали и это с бустом и перед НГ. Маркет - у вас все в порядке?,2.0,False,0
52,2025-12-01 17:36:21+00:00,Товарищи зашел специально в ваш ТГ канал. Вопрос у вас там всё в порядке? Яндекс маркет хороним?,,False,0
53,2025-12-01 17:34:59+00:00,"Пустите уже в бестселлеры! После повышения комиссии, половину ассортимента так и не можем добавить! Снижайте пороги, нет продаж без акций! Выручка снизилась в 5 раз, только в выходные, когда флеш работает есть продажи!",,False,1
54,2025-12-01 17:23:38+00:00,бакальчук со второго аккаунта зашла),,False,3
55,2025-12-01 17:14:59+00:00,"Простите за долгий ответ.

Проверка данных может занять от 2 до 6 часов. Напишите, пожалуйста, нам в личные сообщения SKU Товаров, у которых были проставлены коды ТН ВЭД, всё проверим и подскажем",,True,0
56,2025-12-01 17:06:04+00:00,а реакции кто чистит???,0.0,False,0
57,2025-12-01 17:02:35+00:00,"Здравствуйте, Арсений!

Пожалуйста, соблюдайте правила чата 🤝 В противном случае будем вынуждены вас заблокировать 😔",,True,0
58,2025-12-01 17:01:08+00:00,"не удивляйтесь. они быстрые везде, особенно в доставке",,False,1
59,2025-12-01 16:58:13+00:00,Я в шоке С какой скоростью они стали чистить чат,2.0,False,1
60,2025-12-01 16:58:00+00:00,Это стоп-слово)),,False,0
61,2025-12-01 16:51:18+00:00,Соевые,,False,0
62,2025-12-01 16:24:48+00:00,Коды тн вэд проставил. Через какое время уйдёт проблема?,,False,1
63,2025-12-01 16:16:05+00:00,"Здравствуйте, Юрий!

Чтобы решить проблему с скрытием товаров, укажите, пожалуйста, коды ТН ВЭД в карточках товаров.

Также, в случае, если ваши товары скрыты, но они не подлежат маркировке, отправьте, пожалуйста, нам в личные сообщения документы, которые подтверждают это. Подойдут декларация или сертификат соответствия, грузовая таможенная декларация, а также отказное письмо. Мы всё проверим и поможем решить возникшую ситуацию",,True,0
64,2025-12-01 16:09:53+00:00,У меня вторая неделя пошла по отключению постоплаты,0.0,False,0
65,2025-12-01 16:05:32+00:00,"Там выключить его 2 минуты Делов , специально тяните я уверен",,False,0
66,2025-12-01 16:00:54+00:00,"﻿

Вокруг много шума, а здесь тишина, но с правильными связями. Готов двинуться? Оставь след, тебя заметят.",0.0,False,0
67,2025-12-01 16:00:49+00:00,"@YandexMarketSupportBot
Маркет, прием...
1 декабря обязательная маркировка добавленных товаров - это только для производителей и импортеров!
Смотрим официальную страницу честного знака:
https://xn--80ajghhoc2aj1c8b.xn--p1ai/business/projects/children/marking_dates/


У меня такая же проблема ЛК № 1075382",,False,1
68,2025-12-01 15:48:27+00:00,СКОЛЬКО МОЖНО ЖДАТЬ?!?!,,False,0
69,2025-12-01 15:48:05+00:00,"Очень жаль, что вам приходится долго ждать 😔 Но ваш вопрос не оставлен без внимания, работа по отключению постоплаты идет. Как только процесс завершится, сразу же сообщим вам об этом. Пожалуйста, подождите еще немного 🙏",,False,0
70,2025-12-01 15:47:21+00:00,"А как наказываются сотрудники, которые виноваты в «не корректной работе сервисов»?
С продавцов вы забираете штрафы и деньги, но никак не компенсируете потери от некомпетентности?",,False,0
71,2025-12-01 15:43:11+00:00,"есть,я вам писала.толку ноль.",,False,1
72,2025-12-01 15:42:42+00:00,"Если у вас есть запрос на отключение постоплаты, который долго находится в работе, напишите нам в личные сообщения номер обращения. Сделаем все возможное, чтобы ускорить процесс 🙏",,False,0
