,date,message,views,forwards,pinned,media_available,reactions_total
28,2025-11-24 12:20:59+00:00,"Уникальный формат офлайн-рекламы — с точным таргетингом

Запускаем новый формат рекламы — видеобаннеры на планшетах в такси. Главная особенность этого формата — возможность точно выделить сегмент аудитории, которая увидит вашу рекламу.

Проект стартует в Москве: уже сейчас планшеты появились в салонах 500 авто, до конца года их будет 2500. Пассажир сможет посмотреть на планшете мультфильм или сериал, а ещё ему покажут ролик с рекламой вашего товара.

🔸 Формируйте нужный сегмент аудитории на основе десятков параметров — от пола и возраста до подписки на ваш магазин и предпочитаемых тарифов такси.

🔸 Анализируйте эффективность кампаний на основе базовых и расширенных показателей, а ещё — метрик продаж на Маркете.

🔗 Узнать детали

Настраивайте и управляйте кампаниями прямо из личного кабинета в разделе Продвижение → Охватное продвижение → Создать кампанию → Видеобанннер в такси.

➡️ Создать кампанию с видеобаннером

#продвижение",6401.0,63.0,False,True,84
29,2025-11-24 10:32:34+00:00,"Как сделать ИИ рабочим инструментом бизнеса — узнаем в 14:00

На третьей трансляции проекта «Наставники Яндекс Маркета» поговорим про ИИ и автоматизацию бизнеса.

Обсудим:

✅ Какие процессы стоит автоматизировать и с чего начать

✅ Какие данные безопасно доверить ИИ

✅ Как ИИ помогает продавцам на практике

✅ И главное — как добиться того, чтобы ваш товар попадал в рекомендации Маркет AI

Гости трансляции:

🔹 Александр Крайнов, директор по развитию технологий ИИ в Яндексе

🔹 Алина Романовская, руководитель Маркет AI в личном кабинете продавца

▶️ Подключайтесь к эфиру в 14:00: VK, Rutube или YouTube.

Задавайте вопросы экспертам в комментариях к трансляции.",5331.0,17.0,False,True,41
30,2025-11-21 13:10:56+00:00,,8555.0,180.0,False,True,0
31,2025-11-21 13:10:56+00:00,,9570.0,180.0,False,True,0
32,2025-11-21 13:10:56+00:00,,9222.0,180.0,False,True,0
33,2025-11-21 13:10:56+00:00,"Встречайте подборки товаров

Теперь можно объединять товары в подборки и предлагать покупателям больше своего ассортимента. Они будут в отдельном блоке-карусели в карточке и по ссылке на отдельную страницу — это позволит продать сопутствующие товары и выделить важные позиции.

Как создать подборку

Перейдите в Товары → Подборки, добавьте свою и придумайте название. Отберите товары — вручную или с помощью фильтра. А затем укажите, где она будет отображаться. Подробнее

Примеры подборок — в карточках.

➡️ Добавить подборку

#каталог",8459.0,190.0,False,True,87
34,2025-11-21 11:30:01+00:00,"📣 Как развивать и расширять свой бренд — обсудим в 15:00

На второй трансляции проекта «Наставники Яндекс Маркета» с экспертами:

🔸 Максимом Спиридоновым, российским предпринимателем, инвестором и основателем Нетология-групп

🔸 Кириллом Кожухаром, менеджером продукта Яндекс Маркета

▶️ Подключайтесь к эфиру в 15:00: VK, Rutube или YouTube.

Задавайте вопросы в комментариях к трансляции — ответим на самые интересные.

Подробнее про наставников и следующие темы смотрите на сайте 🔗",6600.0,17.0,False,True,79
35,2025-11-20 15:30:08+00:00,"С 1 декабря проверка длинных кодов до отгрузки станет обязательной

Мы завершили тестирование и вводим дополнительную проверку для длинных кодов маркировки в моделях FBS и Экспресс. Это необходимо, чтобы в чеке покупателя отобразилась корректная информация.

Пока код не пройдёт валидацию, отгрузить заказ не получится. Когда код пройдёт проверку, вы сможете перевести заказ в статус Готов к отгрузке.

Если найдём ошибку в коде маркировки

Покажем уведомление в личном кабинете и предупредим по почте. Чтобы отправить заказ, исправьте или замените товар и его код. Если исправить код невозможно, заказ придётся отменить: продажа товаров с невалидными кодами маркировки запрещена.

#логистика",8031.0,152.0,False,True,82
36,2025-11-20 11:36:26+00:00,,6915.0,15.0,False,True,0
37,2025-11-20 11:36:26+00:00,,7570.0,15.0,False,True,0
38,2025-11-20 11:36:26+00:00,,7035.0,15.0,False,True,0
39,2025-11-20 11:36:26+00:00,"Стратегия vs импровизация — разные подходы к участию в распродажах

Впереди ещё две крупные распродажи — Чёрная пятница и 12.12 — и повышенный спрос перед Новым годом. Представители компаний Midea и Альфа-Трейд рассказали о своих стратегиях подготовки к высокому сезону, а команда журнала «Что на счёт» сравнила их — и нашла универсальные методы и инструменты.

Читайте ключевые тезисы в карточках, а детали — на страницах журнала. И выбирайте, какой подход вам ближе.

Какой метод вы бы не выбрали, участвуйте в бестселлерах и супербестселлерах — так ваши товары попадут в распродажи.

➡️ К акциям

#продвижение",6239.0,17.0,False,True,86
40,2025-11-19 15:17:26+00:00,"Расширяем географию доставки вывозов и вводим тариф на такую доставку
🟣

Увеличиваем число объектов, где можно забрать вывозы из других регионов. С 1 декабря начинаем тарифицировать доставку таких вывозов и их утилизацию.

Забирайте вывозы из Москвы в Санкт-Петербурге

С 2 декабря в Буграх можно забирать вывозы из Софьино.

Теперь мы доставляем вывозы на 6 объектов в разных регионах. Планируем увеличить их количество — для вашего удобства.

Тариф на доставку вывозов

1 декабря вводим тариф на вывоз товаров со складов из другого региона — 300 ₽ за коробку. 

Тариф единый: стоимость не зависит от габаритов и расстояния между складами.

Тариф на утилизацию вывозов

Чтобы на складах всегда было место для новых вывозов, мы храним товары 15 дней после присвоения им статуса «Товары готовы к передаче», а затем — утилизируем.

С 1 декабря утилизация всех вывозов будет платной. Стоимость услуги — 120 ₽ за товар.

▶️ Узнать детали

#логистика",8369.0,120.0,False,True,87
41,2025-11-14 12:58:36+00:00,,10918.0,38.0,False,True,0
42,2025-11-14 12:58:36+00:00,,11097.0,38.0,False,True,0
43,2025-11-14 12:58:36+00:00,,10277.0,38.0,False,True,0
44,2025-11-14 12:58:36+00:00,"Как увеличить долю продаж с витрины почти до 40% с помощью продвижения

Производитель фарфора Villeroy & Boch включил витрину магазина в свою маркетинговую стратегию, привлекал внешний и внутренний трафики туда. За первый год оборот компании на Маркете вырос в 2,5 раза, а доля продаж с витрины — почти до 40%, рассказала ведущий маркетолог бренда Кристина Неретина.

Компания экономит сотни тысяч рублей в месяц благодаря сниженному тарифу 5% — это позволяет больше инвестировать в маркетинг и привлекать покупателей.

В карточках рассказали, как Villeroy & Boch продвигает бренд с помощью витрины. Полный текст — в нашем журнале 👆

➡️ Настроить витрину

#каталог",9727.0,41.0,False,True,111
45,2025-11-14 10:52:24+00:00,"📣 Первая трансляция «Наставников»: сегодня в 14:00

Что нужно для старта бизнеса, запуска нового направления или поиска идей для развития? Обсудим сегодня на первой трансляции проекта «Наставники Яндекс Маркета» с экспертами e-com рынка:

🔸 Игорем Минкевичем, сооснователем re-feel
🔸 Александром Ивановым, основателем бренда велосипедов Schulz
🔸 Александрой Борздыко, экспертом Маркета

▶️ Подключайтесь к эфиру в 14:00: VK, Rutube или YouTube.

И задавайте свои вопросы в комментариях к трансляции, ответим на самые интересные.

Подробнее про наставников и следующие темы — на сайте 🔗",8309.0,11.0,False,True,81
46,2025-11-13 13:36:17+00:00,,8741.0,16.0,False,True,0
47,2025-11-13 13:36:17+00:00,,8777.0,16.0,False,True,0
48,2025-11-13 13:36:17+00:00,"Главные герои распродажи 11.11

Это вы! За один день миллионы товаров нашли своих покупателей — в ваших магазинах ❤️

Меньше слов — в карточках результаты первого дня распродажи в цифрах и фактах.

Впереди Чёрная пятница и новогодние распродажи — добавляйте товары в «Бестселлеры» и «Супербестселлеры», чтобы участвовать.

➡️ К акциям

И привозите товары на склады — так они быстрее попадут к покупателям.",7041.0,18.0,False,True,51
49,2025-11-13 10:32:04+00:00,"🎙 Стрим про работу с ИИ скоро начнётся

В прямом эфире расскажем, зачем нужны нейросети и как добиться от них хороших результатов при работе на маркетплейсах. А ещё обсудим кейсы для продавцов и ответим на ваши вопросы.

Начинаем в 14:00 — смотрите там, где удобно:

✅ ВКонтакте
✅ YouTube
✅ RUTUBE

Запись эфира будет — сохраним по этим же ссылкам.",7230.0,36.0,False,True,84
50,2025-11-11 13:41:37+00:00,,7860.0,49.0,False,True,0
51,2025-11-11 13:41:37+00:00,,9355.0,49.0,False,True,0
52,2025-11-11 13:41:37+00:00,,8937.0,49.0,False,True,0
53,2025-11-11 13:41:37+00:00,,7435.0,49.0,False,True,0
54,2025-11-11 13:41:37+00:00,,7539.0,49.0,False,True,0
55,2025-11-11 13:41:37+00:00,"🔼 Как персональный менеджер помог Rushew вырасти в 8 раз

Руслан Малышев вывел свой магазин бытовой техники на Маркет и всего за месяц увеличил оборот с 2 до 16 млн ₽. 

В карточках рассказали, как работа с персональным менеджером помогла Rushew достичь такого результата. Полный текст — в нашем журнале.

▶️ Читать кейс",7772.0,52.0,False,True,146
56,2025-11-10 15:40:42+00:00,"📣 +1 интеллект: как добиваться от ИИ хороших результатов

🗓 Стрим 13 ноября в 14:00

Как работают нейросети и зачем они нужны продавцам — в прямом эфире расскажут руководитель группы по работе с ИИ и контентом в продуктах Яндекса Олег Копылов и руководитель Маркета AI в личном кабинете продавца Алина Романовская.

Что ещё обсудим:

🔸 Почему нейросети стали умнее: с чем они хорошо справляются, а с чем — пока нет.

🔸 Кейсы для продавцов на маркетплейсах: где ИИ поможет с рутинными задачами.

🔸 Как добиваться качественных результатов: промптинг, техники, инструменты и кое-что ещё.

🔸 Как наши продавцы могут автоматизировать работу благодаря Маркету AI — чату с помощником на основе ИИ.

За час до эфира пришлём ссылку на стрим — для этого зарегистрируйтесь 🔗

#Маркет_AI",8264.0,49.0,False,True,89
57,2025-11-10 08:10:01+00:00,"Не стесняйтесь подсмотреть — курсы и гайды о работе на Маркете

Запустили образовательную платформу для наших продавцов — курсы и гайды про работу на Маркете. В них доступно расскажем, как успешно продавать на маркетплейсе, продвигать свои товары и использовать ИИ для работы с контентом.

Материалы будут всегда под рукой: пройти целый курс займёт не более двух часов, а прочитать гайд — около 30 минут.

Чему научитесь на платформе

🔹 Настраивать продвижение с помощью наших инструментов.

🔹 Продвигать витрину магазина — со сниженным тарифом 5%.

🔹 Готовиться к продажам в высокий сезон.

🔹 Работать с ИИ.

➡️ Хочу учиться",8304.0,97.0,False,True,111
58,2025-11-07 13:34:55+00:00,,9443.0,70.0,False,True,0
59,2025-11-07 13:34:55+00:00,,10402.0,70.0,False,True,0
60,2025-11-07 13:34:55+00:00,,10391.0,77.0,False,True,0
61,2025-11-07 13:34:55+00:00,,8806.0,69.0,False,True,0
62,2025-11-07 13:34:55+00:00,,8865.0,68.0,False,True,0
63,2025-11-07 13:34:55+00:00,"Как рассчитать свою выгоду со скидкой за быструю отгрузку
🔵

Вы можете получить скидку на размещение за быструю FBS-отгрузку — 4 или 7 процентных пунктов. Часто процентные пункты и проценты путают — и расчёт экономии получается неточным.

В карточках разобрались, чем процентные пункты отличаются от процентов и какой будет ваша выгода со скидкой на размещение. А ещё рассказали, как сэкономить, если настроить график для получения скидки не удаётся.

Всё о скидке за быструю отгрузку — в Справке.

▶️ Настроить график склада

#логистика",8993.0,70.0,False,True,126
64,2025-11-07 08:12:11+00:00,"1000 пушей за 400 ₽ — только до 21 ноября

Специально к высокому сезону снизили минимальную стоимость отправки пуш-уведомлений в 2 раза! С 7 по 21 ноября 1000 пушей можно отправить за 400 ₽.

🌩 Средний CTR пушей на Маркете — 1-2%

Используйте инструмент с такой кликабельностью, чтобы рассказать о своём магазине и привлечь внимание покупателей к товарам и акциям.

Как настроить кампанию с пушами и составить пуш-уведомление — в Справке.

➡️ Создать пуш-рассылку

#продвижение",10474.0,170.0,False,True,72
65,2025-11-06 09:03:26+00:00,"Закрывающие документы за октябрь 2025 года отправим электронно

Переходим на электронный формат работы с закрывающими документами по договору на размещение, как и рассказывали. Добавили настройку способа получения документов, если вы хотите продолжить получать их Почтой России.

Как сохранить бумажный формат

🔸 Перейдите в раздел Финансы → Закрывающие документы → Настройки;

🔸 Добавьте способ получения документов на Почту России — отдельно для каждого договора в бизнесе.

Дата отправки закрывающих документов за октябрь — 7 ноября. Если обновить настройки до 6 ноября включительно, документы за октябрь пришлём Почтой России.

Если уже работаете по ЭДО

Настраивать ничего не нужно — формат получения закрывающих документов для вас не изменится.

#финансы",9254.0,58.0,False,True,65
66,2025-11-05 08:10:00+00:00,,8521.0,65.0,False,True,0
67,2025-11-05 08:10:00+00:00,,9920.0,65.0,False,True,0
68,2025-11-05 08:10:00+00:00,,9660.0,65.0,False,True,0
69,2025-11-05 08:10:00+00:00,,8069.0,65.0,False,True,0
70,2025-11-05 08:10:00+00:00,,8125.0,65.0,False,True,0
71,2025-11-05 08:10:00+00:00,"Развивайте бизнес с лидерами индустрии

Запускаем проект «Наставники Яндекс Маркета». Ведущие эксперты e-com-рынка помогут найти ответы на вопросы, с которыми сталкивается ваш бизнес.

Вас ждут трансляции о старте своего дела, продвижении магазина, развитии бренда, лидерстве и интеграции искусственного интеллекта в бизнес-процессы и жизнь предпринимателя.

Регистрируйтесь на сайте проекта, чтобы задать свой вопрос наставнику Маркета и получить ответ в прямом эфире! Анонсы с датами и временем трансляций пришлём на указанную почту.

🌩 Получите шанс на личную консультацию ведущего эксперта

Авторы самых интересных вопросов и кейсов смогут в формате онлайн-беседы пообщаться с наставником Яндекс Маркета, чтобы найти решение для своего бизнеса.

Условия участия:

🔲 Продавать на Маркете.
🔲 Заполнить заявку до 5 декабря.
🔲 Выбрать эксперта для консультации, рассказать про свой бизнес и сформулировать вопрос к нему.

Эксперт рассмотрит заявки и выберет победителя, с которым разберёт его случай. Победителей объявим 11 декабря.

Самые популярные вопросы из заявок наставники разберут и во время прямых трансляций. Следите за анонсами!

🔗 Больше деталей о проекте и экспертах",7886.0,67.0,False,True,122
72,2025-11-01 11:16:55+00:00,"Скидка за быструю FBS-отгрузку 7 процентных пунктов уже доступна

Ускоряйте отгрузку и экономьте на размещении. Получите скидку на размещение в 7 процентных пунктов, если среднее время отгрузки за 7 дней было не больше 28 часов.

Какие теперь доступны скидки:

🔸 Если среднее время отгрузки до 36 часов — 4 процентных пункта

🔸 Если среднее время отгрузки до 28 часов — 7 процентных пунктов

Чтобы получать скидку 7 процентных пунктов и экономить ещё больше:

🔹 Настройте график отгрузок со средним временем не больше 28 часов

🔹 Соблюдайте график в течение 7 дней

🔹 Получите скидку — она будет применяться с 8-го дня.

▶️ Настроить график склада

#логистика",10535.0,66.0,False,True,120
73,2025-10-31 15:54:29+00:00,"Забирайте вывозы там, где отгружали поставки
🟣

Отличная новость для тех, кто отгружает поставки через ПВЗ и сортцентры в Краснодарском крае! С 6 ноября вы можете забирать вывозы со складов в Софьино и Ростове-на-Дону на транзитном складе в Краснодаре.

Адрес склада: Краснодар, хутор Октябрьский, ул. Подсолнечная, д. 44.

➡️ К заявкам на вывоз

До конца года будем тестировать опцию в Краснодаре, а затем планируем расширять географию. Вернёмся с новостями в следующем году!

#логистика",9596.0,44.0,False,True,75
74,2025-10-31 08:30:07+00:00,"📣 Стрим о персональном менеджере скоро начнётся

В прямом эфире расскажем, какие задачи решает персональный менеджер и как он поможет вам получить максимум от сезона распродаж. А ещё обсудим успешные кейсы продавцов и ответим на ваши вопросы.

Стартуем в 12:00 по Москве. Смотрите там, где удобно:

✅ ВКонтакте
✅ YouTube
✅ RUTUBE

Запись будет — сохраним по этим же ссылкам.",9800.0,45.0,False,True,115
75,2025-10-31 07:01:40+00:00,"🗓 График работы Маркета с 2 по 4 ноября

Скоро длинные выходные — если планируете отдыхать, проставьте выходные для каждого магазина в личном кабинете.

Выплаты придут позже — из-за нерабочих дней банков

🔸 5 ноября — тем, кто получает их раз в неделю и раз в две недели.

🔸 1 и 5 ноября — тем, кто получает ежедневно.

🔸 5 и 7 ноября — тем, кто получает ежемесячно.

Как работает Маркет

🔲 С 2 по 4 ноября не будут принимать отгрузки сортцентры DPD в Петрозаводске, Пскове и Магнитогорске. С 3 по 4 ноября — в Иркутске, там же 2 ноября работает только курьерская доставка DPD.

🔲 4 ноября не будет принимать отгрузки Почта России в Парголове.

🔲 Остальные склады, транзиты, сортцентры, пункты приёма заказов, экспресс-доставка и поддержка работают в обычном режиме.

#управление_магазином",10476.0,70.0,False,True,50
76,2025-10-30 15:58:58+00:00,"Меняем стоимость размещения с 10 ноября

С 10 ноября 2025 года изменится тариф на размещение товаров. Стоимость услуги повысится для большинства категорий, для части категорий не изменится или снизится. Скачать все тарифы

Как экономить на услуге

♦️ Продавайте с витрины по тарифу 5%: для всех категорий и моделей работы. Сниженный тариф действует за каждый заказ с витрины, а также за второй, третий и следующие заказы подписчиков витрины в течение 6 месяцев. К витрине

♦️ Ускорьте отгрузку и размещайтесь со скидкой 4 или 7 процентных пунктов. Настройте график FBS-склада, отгружайтесь по этому графику в течение 7 дней и получите скидку. Подробнее

#договор",15356.0,669.0,False,True,404
77,2025-10-30 12:00:09+00:00,"Проверим длинные коды до отгрузки — чтобы избежать ошибок в чеке

Начинаем дополнительно проверять длинные коды маркировки в FBS и Экспресс.

В ближайший месяц будем тестировать новый процесс вместе с вами. Укажите код товара — пока он не пройдёт валидацию, отгрузить заказ не получится. Исправьте или замените товар и его код, чтобы отправить заказ.

Ошибки кодов маркировки будут отображаться в личном кабинете. Если хотите получать информацию об ошибках по API, воспользуйтесь новым методом 🔗

Что изменится через месяц

Тестовый период закончится: обязательно напомним об этом. Это значит, что изменить статус заказа и перевести его в статус Готов к отгрузке можно будет только если коды товаров прошли проверку.

Если исправить код невозможно, заказ придётся отменить: продажа товаров с невалидными кодами маркировки запрещена.

#логистика",8864.0,89.0,False,True,60
78,2025-10-29 15:58:18+00:00,,7588.0,47.0,False,True,0
79,2025-10-29 15:58:18+00:00,,8394.0,47.0,False,True,0
80,2025-10-29 15:58:18+00:00,,7990.0,47.0,False,True,0
81,2025-10-29 15:58:18+00:00,"🪙 11 миллионов за две недели: как увеличить оборот с помощью «Бестселлеров»

Оборот «Мебель 24» за две недели составил 11 млн ₽ — благодаря участию в «Бестселлерах» и «Супербестселлерах». Как компании это удалось, поделилась руководитель направления маркетплейсов Людмила Большакова. 

А ещё Людмила рассказала:

🔳 Как «Мебель 24» вышла на Маркет

🔳 Как зарабатывать на «Бестселлерах» и «Супербестселлерах»

🔳 Какие ещё инструменты Маркета используют в компании для роста продаж

🔳 Как успешно продавать мебель на маркетплейсе

Самые яркие цитаты — в карточках, а подробности — на страницах журнала.

Ещё больше о «Бестселлерах» — на нашем стриме 30 октября в 14:00. Менеджеры продукта расскажут об алгоритмах Маркета, а продавцы — поделятся своим опытом участия в акциях. Регистрация — по ссылке 👆",7292.0,49.0,False,True,109
82,2025-10-28 12:28:36+00:00,"🎙 Стрим: персональный менеджер для вашего бизнеса 

31 октября в 12:00

Как увеличить продажи с помощью персонального менеджера — узнайте из реальных кейсов продавцов Маркета. О них на стриме расскажет руководитель направления Василиса Соловьева.

На эфире обсудим:

🔲 кто такой персональный менеджер и как начать с ним работать;

🔲 какие задачи он решает: от аудита магазина до настройки продвижения и работы с карточками;

🔲 как персональный менеджер поможет получить максимум от сезона распродаж.

🔗 А ещё ответим на ваши вопросы по теме. Оставляйте их в форме, регистрируйтесь и приходите на стрим.

#мероприятия",7730.0,71.0,False,True,148
83,2025-10-27 05:29:51+00:00,"Встречайте новый личный кабинет с Маркетом AI

Делаем работу в кабинете удобнее и технологичнее. Начали с меню: навели порядок в разделах, расположили их сверху и добавили поиск, чтобы любая страница была доступна в один клик.

🔸 Настройки складов теперь в Остатках. А юридические данные — в профиле.

🔸 В товары, цены и остатки можно перейти в один клик — теперь это отдельные разделы в меню.

🔸 В Общении объединили поддержку, претензии, чаты с покупателями, новости и персонального менеджера, если вы пользуетесь этой услугой.

🔸 А ещё появился поиск — пользуйтесь им, если не нашли что-то на старом месте. В строке поиска также показываем быстрые действия и историю запросов.

⏯️ Смотрите, что изменилось

А ещё появился Маркет AI 🔎

Чат с ассистентом на основе искусственного интеллекта, который доступен всем продавцам в кабинете. Он поможет сэкономить время на рутинных задачах: расскажет, как идут продажи, и ответит на простые вопросы о Маркете.

Маркет AI работает в бета-версии. Обучается на ваших вопросах и скоро начнёт помогать с большим количеством задач. Задавайте ему любой вопрос про работу на Маркете — переписку не увидят ваши коллеги с доступом к кабинету. И делитесь обратной связью в форме.

#управление_магазином #Маркет_AI",9364.0,67.0,False,True,291
